x-axis,1,2,3
second,Volt,Volt,Volt
-227.0000E-06,-36.4698581E-03,-237.4370E-06,-378.1407E-06
-226.7500E-06,-35.4648330E-03,-1.0414571E-03,-780.1508E-06
-226.5000E-06,-38.4799084E-03,-639.4470E-06,-378.1407E-06
-226.2500E-06,-32.4497577E-03,-237.4370E-06,+224.8744E-06
-226.0000E-06,-36.4698581E-03,-1.8454771E-03,+425.8794E-06
-225.7500E-06,-32.4497577E-03,-1.6444721E-03,-378.1407E-06
-225.5000E-06,-34.4598079E-03,-1.4434671E-03,+23.8693E-06
-225.2500E-06,-33.4547828E-03,-36.4319E-06,+224.8744E-06
-225.0000E-06,-36.4698581E-03,-1.0414571E-03,+1.2298995E-03
-224.7500E-06,-32.4497577E-03,-237.4370E-06,-579.1457E-06
-224.5000E-06,-32.4497577E-03,-237.4370E-06,+23.8693E-06
-224.2500E-06,-35.4648330E-03,-1.0414571E-03,-378.1407E-06
-224.0000E-06,-32.4497577E-03,-237.4370E-06,-378.1407E-06
-223.7500E-06,-35.4648330E-03,-1.4434671E-03,-177.1357E-06
-223.5000E-06,-32.4497577E-03,-639.4470E-06,-378.1407E-06
-223.2500E-06,-35.4648330E-03,-1.4434671E-03,+224.8744E-06
-223.0000E-06,-36.4698581E-03,-237.4370E-06,+425.8794E-06
-222.7500E-06,-32.4497577E-03,-840.4520E-06,+224.8744E-06
-222.5000E-06,-32.4497577E-03,+164.5731E-06,+23.8693E-06
-222.2500E-06,-36.4698581E-03,-1.0414571E-03,-378.1407E-06
-222.0000E-06,-32.4497577E-03,+566.5831E-06,-378.1407E-06
-221.7500E-06,-32.4497577E-03,-840.4520E-06,+23.8693E-06
-221.5000E-06,-34.4598079E-03,-639.4470E-06,-378.1407E-06
-221.2500E-06,-36.4698581E-03,-237.4370E-06,+224.8744E-06
-221.0000E-06,-32.4497577E-03,-1.0414571E-03,-378.1407E-06
-220.7500E-06,-36.4698581E-03,-438.4420E-06,+224.8744E-06
-220.5000E-06,-34.4598079E-03,-639.4470E-06,-780.1508E-06
-220.2500E-06,-33.4547828E-03,-237.4370E-06,-378.1407E-06
-220.0000E-06,-36.4698581E-03,-1.0414571E-03,-378.1407E-06
-219.7500E-06,-32.4497577E-03,-639.4470E-06,+425.8794E-06
-219.5000E-06,-32.4497577E-03,+566.5831E-06,-378.1407E-06
-219.2500E-06,-35.4648330E-03,-1.0414571E-03,-981.1558E-06
-219.0000E-06,-32.4497577E-03,-237.4370E-06,+425.8794E-06
-218.7500E-06,-33.4547828E-03,-438.4420E-06,-378.1407E-06
-218.5000E-06,-32.4497577E-03,-237.4370E-06,+23.8693E-06
-218.2500E-06,-32.4497577E-03,-237.4370E-06,-579.1457E-06
-218.0000E-06,-36.4698581E-03,-237.4370E-06,+425.8794E-06
-217.7500E-06,-33.4547828E-03,-840.4520E-06,-378.1407E-06
-217.5000E-06,-34.4598079E-03,-1.0414571E-03,+23.8693E-06
-217.2500E-06,-31.4447326E-03,-237.4370E-06,+425.8794E-06
-217.0000E-06,-36.4698581E-03,-1.0414571E-03,-378.1407E-06
-216.7500E-06,-35.4648330E-03,-36.4319E-06,-780.1508E-06
-216.5000E-06,-38.4799084E-03,-639.4470E-06,+23.8693E-06
-216.2500E-06,-39.4849335E-03,-237.4370E-06,+224.8744E-06
-216.0000E-06,-36.4698581E-03,-1.0414571E-03,-378.1407E-06
-215.7500E-06,-36.4698581E-03,-1.8454771E-03,-981.1558E-06
-215.5000E-06,-34.4598079E-03,-639.4470E-06,+23.8693E-06
-215.2500E-06,-32.4497577E-03,-438.4420E-06,-378.1407E-06
-215.0000E-06,-32.4497577E-03,-237.4370E-06,-378.1407E-06
-214.7500E-06,-32.4497577E-03,-1.0414571E-03,-378.1407E-06
-214.5000E-06,-34.4598079E-03,+164.5731E-06,+23.8693E-06
-214.2500E-06,-32.4497577E-03,-840.4520E-06,+425.8794E-06
-214.0000E-06,-32.4497577E-03,-1.0414571E-03,-378.1407E-06
-213.7500E-06,-33.4547828E-03,-840.4520E-06,-579.1457E-06
-213.5000E-06,-34.4598079E-03,-1.0414571E-03,-378.1407E-06
-213.2500E-06,-33.4547828E-03,-237.4370E-06,+224.8744E-06
-213.0000E-06,-32.4497577E-03,-237.4370E-06,+425.8794E-06
-212.7500E-06,-33.4547828E-03,-237.4370E-06,-378.1407E-06
-212.5000E-06,-34.4598079E-03,-639.4470E-06,+425.8794E-06
-212.2500E-06,-33.4547828E-03,-237.4370E-06,+224.8744E-06
-212.0000E-06,-32.4497577E-03,+566.5831E-06,-1.1821608E-03
-211.7500E-06,-32.4497577E-03,-237.4370E-06,-579.1457E-06
-211.5000E-06,-36.4698581E-03,-639.4470E-06,+23.8693E-06
-211.2500E-06,-33.4547828E-03,+365.5781E-06,+224.8744E-06
