x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-1.2884000E-03,-4.2927134782E+00,+9.1017587E-03,-2.7374372E-03,-193.5678385E-03
-1.2880000E-03,-4.2927134782E+00,+9.2902009E-03,-4.8479899E-03,-197.2110546E-03
-1.2876000E-03,-4.4748742837E+00,+7.4685929E-03,-3.6168341E-03,-193.9447229E-03
-1.2872000E-03,-4.3115576995E+00,+9.1017587E-03,-2.7374372E-03,-193.5678385E-03
-1.2868000E-03,-4.4748742837E+00,+7.4685929E-03,-2.6620603E-03,-193.5678385E-03
-1.2864000E-03,-4.3115576995E+00,+9.1017587E-03,-4.8479899E-03,-193.5678385E-03
-1.2860000E-03,-4.2927134782E+00,+7.4685929E-03,-2.8881909E-03,-193.5678385E-03
-1.2856000E-03,-4.4748742837E+00,+5.4585426E-03,-4.8479899E-03,-197.2110546E-03
-1.2852000E-03,-4.3115576995E+00,+5.2701004E-03,-2.1595477E-03,-193.9447229E-03
-1.2848000E-03,-4.4748742837E+00,+7.0917085E-03,-2.5866834E-03,-197.2110546E-03
-1.2844000E-03,-4.3115576995E+00,+5.4585426E-03,-3.3907035E-03,-193.9447229E-03
-1.2840000E-03,-4.2927134782E+00,+5.2701004E-03,-4.1947236E-03,-197.2110546E-03
-1.2836000E-03,-4.4748742837E+00,+7.0917085E-03,-2.0841708E-03,-193.9447229E-03
-1.2832000E-03,-4.4937185049E+00,+9.1017587E-03,-2.5866834E-03,-197.2110546E-03
-1.2828000E-03,-4.4937185049E+00,+7.4685929E-03,-1.2047739E-03,-193.9447229E-03
-1.2824000E-03,-4.3115576995E+00,+5.4585426E-03,-3.2399497E-03,-193.5678385E-03
-1.2820000E-03,-4.2927134782E+00,+8.9133165E-03,-2.7374372E-03,-197.2110546E-03
-1.2816000E-03,-4.2927134782E+00,+9.2902009E-03,-3.3907035E-03,-193.9447229E-03
-1.2812000E-03,-4.2927134782E+00,+9.2902009E-03,-2.7374372E-03,-193.5678385E-03
-1.2808000E-03,-4.2927134782E+00,+9.2902009E-03,-3.3907035E-03,-197.2110546E-03
-1.2804000E-03,-4.4748742837E+00,+7.4685929E-03,-3.4660804E-03,-197.5879390E-03
-1.2800000E-03,-4.4937185049E+00,+7.2801507E-03,-2.0087940E-03,-197.5879390E-03
-1.2796000E-03,-4.6758793104E+00,+9.1017587E-03,-400.7538E-06,-193.9447229E-03
-1.2792000E-03,-4.6947235316E+00,+5.6469848E-03,-3.1645728E-03,-197.2110546E-03
-1.2788000E-03,-4.5125627262E+00,+7.0917085E-03,-3.4660804E-03,-197.5879390E-03
-1.2784000E-03,-4.3115576995E+00,+9.1017587E-03,-2.7374372E-03,-190.3015069E-03
-1.2780000E-03,-4.4748742837E+00,+9.2902009E-03,-4.1193467E-03,-196.8341701E-03
-1.2776000E-03,-4.6758793104E+00,+7.4685929E-03,-4.2701005E-03,-193.9447229E-03
-1.2772000E-03,-4.3304019207E+00,+9.1017587E-03,-3.5414573E-03,-197.2110546E-03
-1.2768000E-03,-4.4748742837E+00,+9.2902009E-03,-3.4660804E-03,-193.9447229E-03
-1.2764000E-03,-4.4937185049E+00,+5.6469848E-03,-4.1947236E-03,-193.5678385E-03
-1.2760000E-03,-4.4937185049E+00,+7.0917085E-03,-3.5414573E-03,-197.2110546E-03
-1.2756000E-03,-4.3115576995E+00,+7.2801507E-03,-4.1947236E-03,-193.9447229E-03
-1.2752000E-03,-4.4748742837E+00,+9.1017587E-03,-3.5414573E-03,-197.2110546E-03
-1.2748000E-03,-4.3115576995E+00,+7.4685929E-03,-4.1947236E-03,-197.5879390E-03
-1.2744000E-03,-4.2927134782E+00,+5.4585426E-03,-4.9987437E-03,-193.9447229E-03
-1.2740000E-03,-4.4748742837E+00,+5.2701004E-03,-3.6168341E-03,-197.2110546E-03
-1.2736000E-03,-4.3115576995E+00,+8.9133165E-03,-4.1947236E-03,-193.9447229E-03
-1.2732000E-03,-4.2927134782E+00,+5.6469848E-03,-2.0841708E-03,-193.5678385E-03
-1.2728000E-03,-4.4748742837E+00,+8.9133165E-03,-3.3153266E-03,-193.5678385E-03
-1.2724000E-03,-4.4937185049E+00,+7.4685929E-03,-3.4660804E-03,-197.2110546E-03
-1.2720000E-03,-4.3115576995E+00,+7.2801507E-03,-3.4660804E-03,-197.5879390E-03
-1.2716000E-03,-4.4748742837E+00,+7.2801507E-03,-4.1947236E-03,-197.5879390E-03
-1.2712000E-03,-4.3115576995E+00,+7.2801507E-03,-1.3555276E-03,-197.5879390E-03
-1.2708000E-03,-4.4748742837E+00,+9.1017587E-03,-3.2399497E-03,-193.9447229E-03
-1.2704000E-03,-4.4937185049E+00,+9.2902009E-03,-3.4660804E-03,-197.2110546E-03
-1.2700000E-03,-4.3115576995E+00,+9.2902009E-03,-2.0087940E-03,-197.5879390E-03
-1.2696000E-03,-4.2927134782E+00,+7.4685929E-03,-3.3153266E-03,-197.5879390E-03
-1.2692000E-03,-4.2927134782E+00,+9.1017587E-03,-2.0087940E-03,-197.5879390E-03
-1.2688000E-03,-4.2927134782E+00,+7.4685929E-03,-3.3153266E-03,-197.5879390E-03
-1.2684000E-03,-4.2927134782E+00,+7.2801507E-03,-2.0087940E-03,-193.9447229E-03
-1.2680000E-03,-4.4748742837E+00,+7.2801507E-03,-1.8580402E-03,-197.2110546E-03
-1.2676000E-03,-4.4937185049E+00,+7.2801507E-03,-4.7726130E-03,-197.5879390E-03
-1.2672000E-03,-4.4937185049E+00,+5.4585426E-03,-2.8881909E-03,-197.5879390E-03
-1.2668000E-03,-4.4937185049E+00,+8.9133165E-03,-4.8479899E-03,-197.5879390E-03
-1.2664000E-03,-4.4937185049E+00,+7.4685929E-03,-5.8027638E-03,-193.9447229E-03
-1.2660000E-03,-4.4937185049E+00,+7.2801507E-03,-3.6922110E-03,-197.2110546E-03
-1.2656000E-03,-4.3115576995E+00,+5.4585426E-03,-2.0087940E-03,-197.5879390E-03
-1.2652000E-03,-4.4748742837E+00,+7.0917085E-03,-4.0439698E-03,-197.5879390E-03
-1.2648000E-03,-4.4937185049E+00,+7.2801507E-03,-2.8128141E-03,-193.9447229E-03
-1.2644000E-03,-4.3115576995E+00,+9.1017587E-03,-2.6620603E-03,-193.5678385E-03
-1.2640000E-03,-4.2927134782E+00,+9.2902009E-03,-2.6620603E-03,-197.2110546E-03
-1.2636000E-03,-4.2927134782E+00,+7.4685929E-03,-4.1193467E-03,-193.9447229E-03
-1.2632000E-03,-4.2927134782E+00,+10.9233667E-03,-2.0841708E-03,-193.5678385E-03
-1.2628000E-03,-4.4748742837E+00,+5.8354271E-03,-3.3153266E-03,-193.5678385E-03
-1.2624000E-03,-4.3115576995E+00,+8.9133165E-03,-2.7374372E-03,-193.5678385E-03
-1.2620000E-03,-4.2927134782E+00,+7.4685929E-03,-4.1193467E-03,-197.2110546E-03
-1.2616000E-03,-4.2927134782E+00,+10.9233667E-03,-2.8128141E-03,-197.5879390E-03
-1.2612000E-03,-4.4748742837E+00,+9.4786431E-03,-4.1193467E-03,-193.9447229E-03
-1.2608000E-03,-4.6758793104E+00,+9.2902009E-03,-2.8128141E-03,-193.5678385E-03
-1.2604000E-03,-4.3304019207E+00,+9.2902009E-03,-3.3907035E-03,-197.2110546E-03
