Time / sec	Linewidth / MHz
947.491000	0.043387
948.490000	0.042826
949.491000	0.044085
950.494000	0.042163
951.494000	0.041511
952.495000	0.043709
953.496000	0.041672
954.498000	0.044104
955.498000	0.044949
956.499000	0.043616
957.502000	0.044728
958.503000	0.042741
959.503000	0.043624
960.503000	0.042448
961.529000	0.044926
962.543000	0.041584
963.544000	0.043596
964.545000	0.042529
965.546000	0.043929
966.546000	0.042507
967.548000	0.042010
968.551000	0.043101
969.552000	0.042514
970.554000	0.045120
971.555000	0.043429
972.554000	0.045437
973.554000	0.044798
974.557000	0.046730
975.558000	0.043330
976.559000	0.043802
977.562000	0.044473
978.562000	0.050592
979.562000	0.050893
980.562000	0.045389
981.563000	0.044029
982.563000	0.049364
983.565000	0.045472
984.566000	0.044934
985.567000	0.044945
986.567000	0.045924
987.568000	0.047376
988.567000	0.047539
989.568000	0.045148
990.571000	0.045366
991.568000	0.045284
992.570000	0.045510
993.572000	0.046171
994.574000	0.046810
995.573000	0.045489
996.575000	0.045395
997.576000	0.044216
998.579000	0.046791
999.582000	0.047461
1000.584000	0.045540
1001.586000	0.046255
1002.588000	0.045420
1003.590000	0.045983
1004.588000	0.047849
1005.589000	0.046385
1006.589000	0.047214
1007.589000	0.045602
1008.591000	0.044474
1009.589000	0.044961
1010.590000	0.045954
1011.590000	0.042654
1012.591000	0.043296
1013.594000	0.046727
1014.596000	0.045477
1015.598000	0.044226
1016.600000	0.043953
1017.602000	0.043295
1018.606000	0.043612
1019.607000	0.043826
1020.608000	0.045407
1021.610000	0.044614
1022.612000	0.046367
1023.613000	0.046465
1024.612000	0.045551
1025.612000	0.046604
1026.612000	0.049435
1027.613000	0.049184
1028.612000	0.047545
1029.612000	0.050974
1030.611000	0.047296
1031.612000	0.048770
1032.611000	0.048083
1033.613000	0.048526
1034.613000	0.048084
1035.613000	0.051410
1036.614000	0.048701
1037.614000	0.047577
1038.613000	0.049110
1039.613000	0.049938
1040.613000	0.048555
1041.611000	0.048535
1042.613000	0.050576
1043.614000	0.050016
1044.612000	0.047885
1045.613000	0.048641
1046.613000	0.048981
1047.615000	0.049850
1048.615000	0.048637
1049.616000	0.048004
1050.614000	0.047170
1051.613000	0.048393
1052.613000	0.048118
1053.613000	0.046726
1054.615000	0.047193
1055.616000	0.046851
1056.617000	0.048813
1057.617000	0.046889
1058.618000	0.049119
1059.622000	0.046945
1060.623000	0.045364
1061.627000	0.044579
1062.639000	0.047423
1063.666000	0.044323
1064.667000	0.045186
1065.668000	0.045952
1066.669000	0.045817
1067.670000	0.046231
1068.669000	0.048475
1069.671000	0.049931
1070.671000	0.050091
1071.670000	0.054543
1072.669000	0.056591
1073.668000	0.057016
1074.668000	0.059832
1075.668000	0.055622
1076.669000	0.054038
1077.668000	0.049907
1078.669000	0.049291
1079.668000	0.046005
1080.669000	0.046371
1081.670000	0.046332
1082.671000	0.044816
1083.672000	0.045482
1084.672000	0.045359
1085.674000	0.045079
1086.672000	0.045093
1087.673000	0.046779
1088.672000	0.048619
1089.675000	0.050732
1090.676000	0.055276
1091.676000	0.056514
1092.675000	0.057097
1093.672000	0.058102
1094.679000	0.059390
1095.693000	0.057353
1096.691000	0.057060
1097.690000	0.056030
1098.689000	0.056552
1099.689000	0.056776
1100.689000	0.058338
1101.689000	0.057593
1102.689000	0.055676
1103.689000	0.055759
1104.688000	0.056223
1105.689000	0.057673
1106.686000	0.056016
1107.686000	0.056806
1108.685000	0.056126
1109.684000	0.056621
1110.685000	0.055686
1111.686000	0.056054
1112.686000	0.054321
1113.686000	0.057101
1114.687000	0.056578
1115.686000	0.059714
1116.685000	0.056555
1117.687000	0.055789
1118.687000	0.054619
1119.687000	0.053346
1120.689000	0.052796
1121.688000	0.053884
1122.689000	0.053315
1123.689000	0.050543
1124.691000	0.051855
1125.690000	0.050378
1126.693000	0.051160
1127.693000	0.049710
1128.691000	0.051234
1129.689000	0.054339
1130.690000	0.053843
1131.689000	0.053278
1132.687000	0.051309
1133.687000	0.052005
1134.686000	0.051640
1135.686000	0.050172
1136.687000	0.054095
1137.687000	0.050248
1138.688000	0.052349
1139.687000	0.051357
1140.686000	0.052067
1141.685000	0.052188
1142.698000	0.051667
1143.707000	0.054747
1144.708000	0.049714
1145.707000	0.050154
1146.707000	0.052850
1147.707000	0.050995
1148.705000	0.051842
1149.706000	0.051310
1150.706000	0.051313
1151.706000	0.054314
1152.706000	0.053237
1153.706000	0.050979
1154.705000	0.050779
1155.705000	0.053378
1156.705000	0.054970
1157.705000	0.055579
1158.705000	0.056016
1159.705000	0.056449
1160.706000	0.053344
1161.707000	0.053251
1162.707000	0.054196
1163.705000	0.050966
1164.705000	0.051438
1165.705000	0.050591
1166.704000	0.050287
1167.703000	0.048690
1168.703000	0.048988
1169.702000	0.049962
1170.702000	0.048509
1171.703000	0.049728
1172.702000	0.051036
1173.701000	0.051876
1174.701000	0.049279
1175.701000	0.048994
1176.699000	0.049378
1177.699000	0.047990
1178.697000	0.048980
1179.698000	0.052923
1180.699000	0.051147
1181.699000	0.052455
1182.698000	0.052915
1183.698000	0.054550
1184.699000	0.053984
1185.699000	0.058141
1186.697000	0.054106
1187.697000	0.050524
1188.698000	0.050725
1189.698000	0.051912
1190.699000	0.050094
1191.699000	0.051870
1192.700000	0.051992
1193.700000	0.050083
1194.700000	0.052713
1195.700000	0.052907
1196.699000	0.055404
1197.699000	0.054307
1198.697000	0.055554
1199.698000	0.055774
1200.698000	0.053712
1201.697000	0.054561
1202.697000	0.054311
1203.697000	0.050515
1204.696000	0.049679
1205.695000	0.051053
1206.694000	0.050471
1207.695000	0.049351
1208.695000	0.049234
1209.695000	0.048707
1210.697000	0.048076
1211.696000	0.048745
1212.696000	0.048577
1213.699000	0.049826
1214.696000	0.050863
1215.697000	0.049940
1216.698000	0.049094
1217.701000	0.049933
1218.700000	0.051988
1219.698000	0.049687
1220.697000	0.048735
1221.697000	0.049304
1222.698000	0.048563
1223.697000	0.050676
1224.696000	0.051382
1225.694000	0.050419
1226.693000	0.052607
1227.693000	0.052313
1228.695000	0.052818
1229.695000	0.052446
1230.694000	0.050785
1231.694000	0.061854
1232.693000	0.059540
1233.694000	0.055217
1234.695000	0.051237
1235.696000	0.058389
1236.697000	0.097801
1237.693000	0.056936
1238.693000	0.054981
1239.693000	0.052935
1240.690000	0.051379
1241.691000	0.052883
1242.690000	0.049960
1243.688000	0.050752
1244.686000	0.049417
1245.684000	0.049657
1246.686000	0.053117
1247.686000	0.050752
1248.685000	0.051791
1249.683000	0.053313
1250.683000	0.051508
1251.683000	0.052697
1252.682000	0.052162
1253.683000	0.052087
1254.683000	0.053510
1255.685000	0.054276
1256.683000	0.054627
1257.682000	0.054314
1258.680000	0.055324
1259.681000	0.054066
1260.680000	0.056118
1261.679000	0.055004
1262.679000	0.056937
1263.680000	0.053991
1264.678000	0.055065
1265.679000	0.051445
1266.679000	0.051437
1267.679000	0.050736
1268.681000	0.049732
1269.682000	0.051999
1270.682000	0.050583
1271.684000	0.051766
1272.683000	0.050653
1273.684000	0.051265
1274.684000	0.050922
1275.682000	0.051717
1276.683000	0.051705
1277.683000	0.053107
1278.683000	0.050491
