x-axis,1,2,3
second,Volt,Volt,Volt
-1.25944000E+00,-26.21859112E+00,+74.49746E-03,-22.23616E-03
-1.25940800E+00,-29.10803843E+00,+71.35676E-03,-115.20099E-03
-1.25937600E+00,-28.54271178E+00,+94.59796E-03,-34.79898E-03
-1.25934400E+00,-27.09798813E+00,+80.15073E-03,+22.98997E-03
-1.25931200E+00,-26.53266148E+00,+80.15073E-03,-44.84923E-03
-1.25928000E+00,-25.65326448E+00,+80.15073E-03,-172.98993E-03
-1.25924800E+00,-26.53266148E+00,+80.15073E-03,-12.18591E-03
-1.25921600E+00,-25.65326448E+00,+80.15073E-03,+58.16584E-03
-1.25918400E+00,-27.09798813E+00,+80.15073E-03,-57.41204E-03
-1.25915200E+00,-27.09798813E+00,+74.49746E-03,-57.41204E-03
-1.25912000E+00,-26.53266148E+00,+60.05022E-03,-80.02511E-03
-1.25908800E+00,-25.65326448E+00,+65.70349E-03,-115.20099E-03
-1.25905600E+00,-27.09798813E+00,+85.80399E-03,-34.79898E-03
-1.25902400E+00,-27.09798813E+00,+88.94470E-03,+22.98997E-03
-1.25899200E+00,-27.09798813E+00,+65.70349E-03,-22.23616E-03
-1.25896000E+00,-26.53266148E+00,+74.49746E-03,-115.20099E-03
-1.25892800E+00,-25.08793783E+00,+65.70349E-03,-57.41204E-03
-1.25889600E+00,-25.08793783E+00,+80.15073E-03,-102.63817E-03
-1.25886400E+00,-25.65326448E+00,+74.49746E-03,-172.98993E-03
-1.25883200E+00,-26.53266148E+00,+65.70349E-03,-34.79898E-03
-1.25880000E+00,-25.65326448E+00,+80.15073E-03,-22.23616E-03
-1.25876800E+00,-27.66331478E+00,+80.15073E-03,-115.20099E-03
-1.25873600E+00,-28.54271178E+00,+80.15073E-03,-34.79898E-03
-1.25870400E+00,-26.53266148E+00,+85.80399E-03,-22.23616E-03
-1.25867200E+00,-25.65326448E+00,+100.25123E-03,-137.81405E-03
-1.25864000E+00,-27.09798813E+00,+88.94470E-03,-92.58792E-03
-1.25860800E+00,-27.09798813E+00,+65.70349E-03,-22.23616E-03
-1.25857600E+00,-27.09798813E+00,+80.15073E-03,-115.20099E-03
-1.25854400E+00,-27.09798813E+00,+74.49746E-03,-57.41204E-03
-1.25851200E+00,-27.09798813E+00,+71.35676E-03,-57.41204E-03
-1.25848000E+00,-26.53266148E+00,+94.59796E-03,-57.41204E-03
-1.25844800E+00,-25.65326448E+00,+74.49746E-03,-34.79898E-03
-1.25841600E+00,-27.09798813E+00,+65.70349E-03,+22.98997E-03
-1.25838400E+00,-26.53266148E+00,+91.45726E-03,+376.90E-06
-1.25835200E+00,-25.65326448E+00,+109.04520E-03,-102.63817E-03
-1.25832000E+00,-25.96733484E+00,+85.80399E-03,-195.60300E-03
-1.25828800E+00,-23.64321418E+00,+94.59796E-03,-92.58792E-03
-1.25825600E+00,-25.08793783E+00,+74.49746E-03,+22.98997E-03
-1.25822400E+00,-25.08793783E+00,+65.70349E-03,+376.90E-06
-1.25819200E+00,-25.08793783E+00,+80.15073E-03,-80.02511E-03
-1.25816000E+00,-25.08793783E+00,+85.80399E-03,-115.20099E-03
