Time,Channel A,Channel B
(s),(V),(mV)

0.36400002,0.41645560,23.04147000
0.36450002,0.41761530,25.63860000
0.36500002,0.41761530,22.80953000
0.36550002,0.41645560,21.94586000
0.36600002,0.41761530,23.09946000
0.36650002,0.41761530,21.59795000
0.36700002,0.41645560,22.17475000
0.36750002,0.41761530,23.27036000
0.36800002,0.41529590,20.15442000
0.36850002,0.41645560,23.32835000
0.36900002,0.41645560,21.48198000
0.36950002,0.41645560,21.82989000
0.37000002,0.41761530,23.61827000
0.37050002,0.41529590,21.59795000
0.37100002,0.41761530,24.13709000
0.37150002,0.41529590,23.21543000
0.37200002,0.41761530,23.04147000
0.37250002,0.41645560,22.34870000
0.37300002,0.41529590,22.05878000
0.37350002,0.41645560,22.34870000
0.37400002,0.41413620,23.73424000
0.37450002,0.41529590,22.52266000
0.37500002,0.41291540,21.94586000
0.37550002,0.41413620,21.53996000
0.37600002,0.41645560,21.13712000
0.37650002,0.41529590,22.34870000
0.37700002,0.41645560,21.82989000
0.37750002,0.41413620,22.69356000
0.37800002,0.41645560,23.04147000
0.37850002,0.41413620,21.02115000
0.37900002,0.41413620,22.75155000
0.37950002,0.41529590,24.71389000
0.38000002,0.41529590,23.27036000
0.38050002,0.41529590,21.94586000
0.38100002,0.41529590,23.04147000
0.38150002,0.41529590,22.86752000
0.38200002,0.41413620,21.07913000
0.38250002,0.41529590,22.69356000
0.38300002,0.41529590,21.88787000
0.38350002,0.41413620,22.69356000
0.38400002,0.41529590,23.09946000
0.38450002,0.41645560,24.65590000
0.38500002,0.41529590,23.84716000
0.38550002,0.41645560,23.44432000
0.38600002,0.41413620,21.53996000
0.38650002,0.41529590,25.40666000
0.38700002,0.41529590,24.36903000
0.38750002,0.41413620,21.88787000
0.38800002,0.41413620,22.86752000
0.38850002,0.41529590,22.58064000
0.38900002,0.41413620,22.40669000
0.38950002,0.41529590,22.46467000
0.39000002,0.41529590,22.40669000
0.39050002,0.41413620,22.23273000
0.39100002,0.41413620,22.34870000
0.39150002,0.41413620,24.53993000
0.39200002,0.41413620,23.21543000
0.39250002,0.41529590,22.23273000
0.39300002,0.41413620,22.63558000
0.39350002,0.41413620,23.56029000
0.39400002,0.41413620,22.29072000
0.39450002,0.41413620,22.46467000
0.39500002,0.41413620,23.56029000
0.39550002,0.41413620,22.52266000
0.39600002,0.41529590,23.04147000
0.39650002,0.41291540,22.69356000
0.39700002,0.41413620,21.19510000
0.39750002,0.41413620,22.17475000
0.39800002,0.41413620,22.40669000
0.39850002,0.41291540,21.88787000
0.39900002,0.41413620,22.63558000
0.39950002,0.41291540,22.34870000
0.40000002,0.41175570,22.11676000
0.40050002,0.41291540,22.17475000
0.40100002,0.41413620,21.25309000
0.40150002,0.41413620,22.52266000
0.40200002,0.41291540,21.59795000
0.40250002,0.41413620,22.75155000
0.40300002,0.41291540,22.40669000
0.40350002,0.41291540,22.75155000
0.40400002,0.41291540,22.98349000
0.40450002,0.41291540,22.40669000
0.40500002,0.41291540,22.63558000
0.40550002,0.41175570,24.82986000
0.40600002,0.41413620,23.50230000
0.40650002,0.41413620,22.86752000
0.40700002,0.41291540,21.77190000
0.40750002,0.41175570,21.48198000
0.40800002,0.41175570,23.50230000
0.40850002,0.41291540,23.04147000
0.40900002,0.41175570,19.92554000
0.40950002,0.41413620,22.69356000
0.41000002,0.41291540,22.17475000
0.41050002,0.41291540,23.50230000
0.41100002,0.41291540,23.32835000
0.41150002,0.41413620,24.59792000
0.41200002,0.41291540,22.29072000
0.41250002,0.41413620,21.82989000
0.41300002,0.41291540,22.46467000
0.41350002,0.41291540,21.53996000
0.41400002,0.41291540,23.15744000
0.41450002,0.41413620,22.52266000
